"Dates","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West.Virginia","Wisconsin","Wyoming","Florida","Dates"
"2010-10-03",293.9871,307.01266,291.8821,301.25424,299.2382,288.30804,289.98135,294.24326,304.8164,287.29367,286.90237,287.1985,292.05893,289.1663,295.15475,286.62518,289.6433,288.5898,283.5301,284.77695,293.40152,289.1534,297.46463,291.31192,305.89975,286.74332,289.0313,303.09805,285.36044,291.6592,286.99243,286.6467,293.17532,300.09552,287.3539,289.37198,293.15457,289.5237,290.785,297.85388,305.2922,285.24747,289.9977,295.26965,288.658,284.21088,300.26135,296.90427,2010-10-03
"2010-10-10",293.5152,299.93124,294.5156,293.58203,298.45148,286.5576,287.99384,292.8437,294.46802,291.7295,291.3167,292.14902,296.1122,291.7512,294.8325,283.451,288.26535,286.22275,288.51688,291.35318,293.8666,293.1971,296.04813,295.3908,295.01572,284.74973,287.1933,300.67706,285.66873,291.2635,294.03546,290.0062,295.53207,291.39523,287.1441,286.80768,292.20578,295.42722,292.40533,296.80493,296.6092,284.7502,290.00983,289.71567,289.62784,290.73224,297.53363,295.20975,2010-10-10
"2010-10-17",294.14334,302.56616,293.8379,299.4951,297.37936,285.733,289.1114,294.319,293.85495,291.8673,291.47943,290.5149,293.92923,292.75372,295.2695,282.04022,289.6932,284.8019,286.38934,287.6009,294.191,292.58548,291.327,292.94,299.09967,283.07257,287.47702,300.25775,284.48624,292.676,288.4977,290.0664,294.77017,291.31366,287.54205,285.39145,293.93564,291.3571,293.2527,297.4992,298.30222,282.65585,291.64545,286.4927,291.13687,288.0789,296.00894,296.0102,2010-10-17
"2010-10-24",294.39877,295.62186,294.63477,292.0574,295.7038,283.1093,286.41483,293.80957,293.24905,289.5981,288.80026,288.4969,294.0855,291.3493,295.72208,279.37253,286.83374,282.17783,283.95584,284.0354,294.55795,292.20615,291.6958,291.90005,295.26822,280.0087,285.08456,297.39508,282.03812,291.57684,285.2353,287.39468,295.12357,291.0878,285.29102,282.9712,292.83865,289.173,292.9379,297.83994,295.373,279.63437,289.36145,287.8739,289.2161,284.61588,295.267,296.2888,2010-10-24
"2010-10-31",292.83023,296.4953,290.9804,289.87613,292.4234,286.8825,289.63608,294.0648,286.24008,286.42517,286.56586,284.36713,290.61142,288.83603,294.27344,281.61328,289.41498,286.60153,283.85034,280.21628,292.387,288.40558,285.25708,288.2607,290.10434,284.34866,288.52155,296.5412,285.73364,291.96793,278.53088,286.67874,292.41354,285.30154,287.00604,286.96176,293.23148,284.0168,290.36023,296.293,290.3365,284.10507,290.39218,283.1766,289.04776,282.18842,289.0854,297.06244,2010-10-31
"2010-11-07",286.303,299.04532,286.11484,295.7888,295.0707,278.7214,280.5202,285.87943,292.7869,280.53284,279.48013,281.7474,287.37518,281.6507,288.74448,276.96933,280.52023,278.8212,277.69846,280.545,286.99692,283.44675,291.44528,288.44373,296.91037,276.9068,279.44678,296.6818,276.92316,283.41278,284.9625,278.80624,287.54605,291.6165,278.5499,279.6956,284.6603,287.55133,284.01407,291.35873,295.75027,275.98688,281.3784,286.94485,280.49982,279.14233,293.8759,291.0925,2010-11-07
"2010-11-14",290.25653,291.0588,289.2214,287.69427,287.56656,281.0013,283.13583,289.57205,281.82916,287.37482,287.9122,283.9933,287.01614,288.71442,290.39688,278.84662,283.7111,280.79315,282.28836,281.37985,289.72195,287.6293,281.80255,285.0198,284.7513,280.64926,282.36053,291.9401,281.1723,286.98016,280.41205,286.63202,288.8421,282.29025,283.74323,280.61697,288.39862,283.51117,289.49036,291.8802,285.37848,279.68704,286.1682,280.32974,287.61276,282.722,284.15567,291.66766,2010-11-14
"2010-11-21",287.59415,293.643,283.86526,289.59012,289.03232,280.3806,283.11505,288.87067,283.62122,280.4351,280.43292,277.3062,283.56943,282.94116,287.20987,276.3889,283.15,279.87296,277.00082,271.59738,285.87814,282.41132,275.13876,280.00394,289.3934,277.90097,282.14087,292.85605,279.10318,286.80353,270.5898,280.9645,285.57767,282.98532,280.99182,280.54434,288.38992,276.2674,284.61154,290.1207,289.53412,277.47366,284.6163,280.17804,283.6182,275.13037,284.83636,292.81625,2010-11-21
"2010-11-28",287.90262,286.4367,286.36124,281.92584,284.258,278.4131,281.58557,288.67523,273.81738,277.67242,278.65933,272.9671,281.8929,282.98288,289.62805,272.6009,281.53354,277.73767,275.3001,267.51535,288.13864,280.6826,269.0575,277.13626,278.93015,275.16837,280.13986,289.0627,277.13828,285.88303,266.01483,279.72458,286.0353,275.7192,279.1534,278.5484,288.13916,271.59393,285.22867,290.77103,279.56815,275.0918,283.22244,271.65503,282.44754,270.9777,277.50784,293.29828,2010-11-28
"2010-12-05",282.96002,290.18735,281.6286,286.04712,286.12595,276.412,278.14096,283.61346,278.60956,273.49652,274.32834,271.12903,279.34845,277.09747,286.09308,274.5714,277.7869,276.1726,273.2417,266.89102,283.23282,276.18158,274.7457,276.56693,284.09183,274.97635,277.40237,289.89072,275.02316,280.1574,265.32715,274.85333,282.66776,279.3336,275.58212,276.7525,282.33594,271.57593,279.4116,288.12674,284.1152,274.49673,278.00156,275.9828,276.49872,270.5863,281.29175,289.0286,2010-12-05
"2010-12-12",276.74365,293.87296,277.41348,289.18936,287.6942,271.45917,274.0027,276.7795,282.90366,269.66684,269.69812,269.21304,279.21774,272.37875,281.0572,267.68872,273.37625,271.00198,269.42496,262.55353,277.60526,273.2291,277.77377,277.62924,288.36676,268.795,273.32855,292.10007,269.85535,274.4644,263.52267,270.9604,279.77066,283.84402,271.6599,271.75705,275.7026,271.20605,274.0501,285.81387,287.6059,268.19736,273.00986,279.9686,272.1998,266.34274,283.96698,282.34283,2010-12-12
"2010-12-19",276.71762,292.23047,275.8484,286.9964,287.54413,271.18213,270.9073,277.11032,280.85226,265.9594,266.4898,263.7585,276.13934,269.3076,281.5347,269.76614,270.45966,271.76636,266.4758,261.05853,277.59036,270.04886,276.26953,275.2957,286.02127,270.14886,270.8445,291.75946,268.4327,273.6785,263.96378,266.57465,278.78168,281.00217,268.27988,272.23346,276.1343,269.6306,271.92157,286.72617,286.61505,268.5764,270.89877,278.71783,268.50986,262.8777,282.47006,283.3259,2010-12-19
"2010-12-26",279.97684,290.4737,278.48904,285.13004,287.2254,271.0299,272.20023,280.20944,281.79755,271.24017,271.02203,268.9104,275.9797,273.17938,283.41068,269.54395,272.24112,271.2539,269.8145,266.0341,280.3447,273.75983,276.32172,274.17657,284.24167,269.07144,271.7168,290.95926,268.25793,275.85403,264.9371,270.4555,279.20596,281.41647,270.1832,271.9695,278.444,269.327,275.90964,287.06583,285.61102,267.05527,273.49014,278.95908,271.59036,268.8644,283.27496,285.444,2010-12-26
"2011-01-02",281.133,282.5562,279.75107,281.64368,279.99722,273.89853,276.1862,281.39493,274.78857,273.92526,274.64108,270.10355,276.61453,277.29416,283.6907,271.62622,276.66998,274.44174,272.83185,266.9884,281.56927,276.2814,271.39722,273.15594,278.36835,273.86356,274.86588,283.91678,273.83487,279.10812,265.54495,274.95215,280.08066,276.2014,275.22,274.03806,280.69302,270.32523,278.60202,285.92035,277.57047,273.04715,277.84647,273.8964,277.3543,269.8998,275.24915,285.67966,2011-01-02
"2011-01-09",280.0104,285.71207,278.76636,283.49356,283.6926,271.53473,272.65738,280.18735,276.44098,270.03952,269.81763,268.07477,277.75284,272.71063,283.56097,268.23337,272.70566,271.57233,266.9355,260.64087,280.3648,273.88242,275.76904,274.867,280.35043,269.5477,272.1407,287.112,269.68713,276.63876,264.45132,269.8154,280.6104,278.40628,270.8338,272.15448,278.73697,270.4145,275.4019,286.9415,279.08337,268.9691,274.14316,275.9827,272.02786,263.82376,279.26816,287.1726,2011-01-09
"2011-01-16",274.19653,287.50653,272.17056,286.50275,281.4495,267.8247,270.67368,274.71844,279.01044,267.9095,268.4254,264.2147,271.06598,270.7245,275.94,266.99997,271.01837,268.32358,265.98166,262.10736,273.8291,268.29062,270.72134,268.92645,282.8286,266.4052,269.56522,285.37622,266.14087,273.34247,259.3005,268.47617,273.19403,281.48578,268.5877,268.76926,273.9693,264.0705,272.00522,279.40768,280.38806,265.13535,272.25516,278.26935,270.74042,265.11734,278.36877,282.91867,2011-01-16
"2011-01-23",279.05026,291.9261,276.0928,290.60812,285.0276,268.09076,271.57623,279.7886,281.28268,267.01685,268.09692,261.95273,275.15692,272.5503,281.30646,263.23422,271.68707,268.2095,261.9434,256.56854,278.85547,270.40463,276.19696,272.18246,286.99155,265.4875,270.13315,290.22366,265.7785,277.31827,260.0657,268.296,277.5363,283.10745,268.37848,268.8891,279.09952,266.0543,275.22476,285.05768,285.54108,263.9748,274.3378,279.47614,272.30426,259.98645,281.8465,287.18726,2011-01-23
"2011-01-30",282.23093,290.04596,281.28604,289.27017,286.5052,268.69095,272.36862,282.16165,282.36874,271.4932,271.38754,268.93866,280.60654,276.56116,284.5731,262.3921,272.58517,268.23212,266.45078,265.9691,282.16373,274.93207,279.4018,278.2739,286.83633,265.83353,270.82697,288.52478,267.93396,279.24765,269.49228,271.48627,282.91318,285.06973,270.73868,268.8876,281.01657,274.4031,279.6972,286.94925,284.79355,265.60532,275.91925,281.75397,275.21667,267.10547,283.51755,286.75842,2011-01-30
"2011-02-06",279.10706,282.73383,274.2265,286.67172,275.81036,269.72208,274.10254,281.62875,276.94937,267.5392,268.80103,265.3969,269.7448,275.21738,277.6187,264.05914,273.8818,269.45135,264.7286,264.17648,277.17487,269.00717,270.96573,269.1275,282.49884,266.40976,272.18924,278.26944,267.73245,279.61554,264.29767,270.56958,270.28033,281.5135,271.18546,270.1829,281.0095,267.14487,277.27106,276.29285,278.42596,266.0104,276.74115,276.54037,276.1644,264.67526,273.336,289.68842,2011-02-06
"2011-02-13",277.1828,288.58295,274.47964,287.9561,279.88144,269.7726,273.48196,279.10324,280.3547,267.94287,268.80978,265.99234,273.11014,272.5108,278.07346,266.35168,273.6225,269.82202,264.64212,262.82822,276.15634,270.0751,274.65775,273.03314,284.97723,268.2369,271.96454,283.93698,267.99033,277.95218,266.33636,269.67618,274.86276,282.43304,270.10605,270.29822,278.96255,270.13336,274.53882,280.25867,282.48627,267.58292,275.8351,279.5085,273.49045,264.11877,277.31586,284.90897,2011-02-13
"2011-02-20",288.03146,291.96152,288.5877,283.8912,290.76437,274.9952,280.24588,287.8304,283.15652,281.34702,280.67386,279.27777,288.65598,284.04846,289.73825,270.085,280.91696,274.55826,273.84442,272.16345,288.6557,285.0633,276.34,285.18286,286.11847,272.63788,278.3469,295.74725,273.9768,285.44516,270.68756,279.97635,291.23932,280.49167,278.49533,274.97983,286.86578,278.4592,286.00525,294.0091,287.86346,272.019,283.41232,278.57388,282.82147,274.51923,285.23422,290.46185,2011-02-20
"2011-02-27",289.63324,286.65192,285.42758,281.35007,284.92838,271.29947,276.47195,289.5456,275.33633,275.57574,275.39542,269.33698,277.43265,282.012,291.52042,264.94412,276.79,270.524,266.5663,262.0352,289.60855,277.45154,266.83865,271.5164,281.05792,267.45605,274.76807,291.26712,269.20294,284.88022,259.2849,274.15576,284.58984,274.9401,273.4595,271.50772,287.79962,263.5117,285.3032,292.6706,283.32675,266.85526,280.7939,272.37967,280.55466,266.4328,277.00082,293.145,2011-02-27
"2011-03-06",288.0119,291.90372,285.40735,286.66937,288.6746,274.0537,278.86282,288.06595,282.4705,277.54718,277.94553,272.37762,280.99948,282.72577,288.98975,268.30557,278.99567,273.32077,269.23013,264.5128,287.5397,280.02383,273.12357,277.07425,286.2978,270.58972,277.2176,292.7582,272.67133,284.46307,262.01596,277.7305,285.6808,281.94702,276.36978,274.22382,286.56564,267.8586,284.82852,290.79974,287.20157,270.29596,281.80576,278.62195,281.2414,269.21988,283.47318,291.98306,2011-03-06
"2011-03-13",284.4677,294.75192,283.98853,288.21683,288.2886,277.07062,279.70587,284.99774,283.1874,277.40598,277.81018,274.5117,282.36533,280.99878,287.4584,271.68347,279.6344,276.26385,272.1228,269.43695,284.86154,279.93463,277.94934,278.1755,289.00992,273.78,278.6212,294.67746,274.531,283.16788,266.80832,277.58658,286.08136,282.8905,276.98416,276.89822,284.66837,271.9817,282.61465,292.00964,288.98856,272.95422,281.1805,280.60513,279.91037,272.9264,283.61588,288.76553,2011-03-13
"2011-03-20",290.32657,297.4177,287.7033,287.21967,293.0667,278.19968,281.50937,290.96387,284.16522,282.03064,281.7488,281.99002,287.4648,284.75177,290.54282,273.50424,282.0045,277.35855,276.38187,276.46185,289.56973,284.25653,283.81235,286.6822,289.16943,276.17548,280.2201,298.51953,277.09018,286.84943,278.1078,281.32294,289.5097,282.21683,280.09366,277.72067,289.25513,283.72446,287.51752,294.4974,291.00125,275.5679,284.09778,280.9317,283.21628,277.99048,287.49008,292.86563,2011-03-20
"2011-03-27",291.5504,290.8059,288.34103,283.63898,290.0219,273.96796,277.9675,292.03104,283.9008,280.69125,280.49042,277.47507,286.08047,285.04703,293.6642,270.9481,279.11935,273.42343,269.67346,270.7558,291.49124,283.68106,279.379,281.9887,285.1586,271.52838,275.53818,295.63785,271.88666,287.07257,270.6332,278.62442,290.04974,281.79266,275.8173,274.11237,290.1459,276.2837,286.7462,296.3439,287.4102,270.6729,283.32474,281.6329,282.6525,270.57614,285.94897,294.24567,2011-03-27
"2011-04-03",287.9354,299.12225,285.06903,292.3933,292.40268,276.56607,277.9066,286.83737,285.9652,280.10522,278.81415,280.044,285.98697,280.7113,290.55862,274.45276,278.0467,276.26685,274.7629,276.4186,287.7949,282.30298,283.2567,284.39273,292.44992,274.96536,277.05344,299.08456,275.41827,282.15533,275.8519,276.43192,287.6212,284.59348,276.21637,276.5078,284.04596,280.69662,283.4895,294.24707,292.3701,274.83563,279.74313,282.3884,278.47534,276.26923,287.92972,293.83005,2011-04-03
"2011-04-10",292.5018,292.5952,293.22604,287.15588,292.0825,280.0011,282.993,292.8874,283.39545,288.34796,287.58426,286.84793,292.66678,291.2507,293.57953,276.5887,283.8335,279.7424,280.29166,282.2216,292.79984,291.2403,282.64236,288.43436,287.06952,279.00034,281.65536,296.88495,280.22906,289.73813,280.42517,285.83786,295.52023,281.97052,282.1083,279.31876,291.71017,285.3582,292.21564,298.1174,288.01727,279.2073,287.2021,280.73944,288.9173,282.42697,287.3557,294.79282,2011-04-10
"2011-04-17",292.11368,296.2199,291.57574,289.46866,292.2967,282.53128,286.45956,293.2015,286.1236,286.419,286.3835,284.02206,290.3903,288.67154,294.0812,277.39447,287.0847,281.76987,280.13202,279.20123,292.15494,288.96002,284.27567,286.24088,291.30176,280.2644,284.72754,297.15698,281.90814,290.77646,278.67984,286.41547,292.63388,283.8222,285.07397,281.83368,292.16537,282.21774,290.0948,296.53076,291.54425,280.1126,289.37802,280.89432,288.67667,280.42368,288.44897,295.81012,2011-04-17
